48# Number of electrodes
# x z
0     0
1     0
2     0
3     0
4     0
5     0
6     0
7     0
8     0
9     0
10     0
11     0
12     0
13     0
14     0
15     0
16     0
17     0
18     0
19     0
20     0
21     0
22     0
23     0
24     0
25     0
26     0
27     0
28     0
29     0
30     0
31     0
32     0
33     0
34     0
35     0
36     0
37     0
38     0
39     0
40     0
41     0
42     0
43     0
44     0
45     0
46     0
47     0
909# Number of data
# a b m n rhoa
16	17	21	20	3546.823
17	18	22	21	3140.667
18	19	23	22	2254.468
19	20	24	23	2608.687
20	21	25	24	2333.906
21	22	26	25	2010.082
22	23	27	26	2250.580
23	24	28	27	2537.477
24	25	29	28	2289.834
25	26	30	29	2113.862
26	27	31	30	2813.451
27	28	32	31	2716.697
28	29	33	32	2439.682
29	30	34	33	1874.316
30	31	35	34	1840.713
31	32	36	35	1353.767
32	33	37	36	1242.566
33	34	38	37	923.645
34	35	39	38	902.155
35	36	40	39	1185.780
36	37	41	40	899.579
37	38	42	41	708.927
38	39	43	42	776.600
39	40	44	43	1268.425
40	41	45	44	1121.868
41	42	46	45	1328.689
42	43	47	46	1691.616
43	44	48	47	2455.933
1	2	7	6	1065.807
2	3	8	7	1114.771
3	4	9	8	1407.187
4	5	10	9	2618.736
5	6	11	10	2825.315
6	7	12	11	2518.802
7	8	13	12	1862.121
8	9	14	13	2900.540
9	10	15	14	3829.054
10	11	16	15	4298.845
11	12	17	16	5269.838
12	13	18	17	5087.277
13	14	19	18	3592.959
14	15	20	19	3803.765
15	16	21	20	3251.530
16	17	22	21	3211.109
17	18	23	22	2154.863
18	19	24	23	2784.106
19	20	25	24	2822.676
20	21	26	25	2183.420
21	22	27	26	3038.620
22	23	28	27	2133.284
23	24	29	28	2353.198
24	25	30	29	2210.095
25	26	31	30	2074.700
26	27	32	31	2440.649
27	28	33	32	2478.713
28	29	34	33	1719.592
29	30	35	34	1607.189
30	31	36	35	1441.991
31	32	37	36	1207.193
32	33	38	37	1048.559
33	34	39	38	848.977
34	35	40	39	1114.062
35	36	41	40	895.172
36	37	42	41	772.319
37	38	43	42	865.594
38	39	44	43	794.811
39	40	45	44	1075.567
40	41	46	45	1260.783
41	42	47	46	1282.866
42	43	48	47	2024.701
1	2	8	7	948.940
2	3	9	8	1569.445
3	4	10	9	1675.646
4	5	11	10	2519.740
5	6	12	11	2916.116
6	7	13	12	2500.556
7	8	14	13	1813.965
8	9	15	14	1569.792
9	10	16	15	4138.977
10	11	17	16	4246.117
11	12	18	17	3008.198
12	13	19	18	3689.281
13	14	20	19	3040.037
14	15	21	20	3147.310
15	16	22	21	3386.364
16	17	23	22	2337.347
17	18	24	23	2587.056
18	19	25	24	2845.949
19	20	26	25	2499.035
20	21	27	26	3144.710
21	22	28	27	2774.441
22	23	29	28	1853.036
23	24	30	29	2190.601
24	25	31	30	2076.620
25	26	32	31	1866.555
26	27	33	32	2301.451
27	28	34	33	1622.683
28	29	35	34	1424.525
29	30	36	35	1362.127
30	31	37	36	1347.871
31	32	38	37	962.322
32	33	39	38	937.318
33	34	40	39	1070.599
34	35	41	40	866.475
35	36	42	41	760.666
36	37	43	42	916.501
37	38	44	43	842.557
38	39	45	44	735.776
39	40	46	45	1342.011
40	41	47	46	1234.380
41	42	48	47	1484.697
1	3	9	7	1213.847
2	4	10	8	1616.950
3	5	11	9	2295.941
4	6	12	10	2732.206
5	7	13	11	2536.584
6	8	14	12	1987.222
7	9	15	13	2127.533
8	10	16	14	3220.117
9	11	17	15	4199.763
10	12	18	16	4277.657
11	13	19	17	4093.428
12	14	20	18	3526.627
13	15	21	19	3252.814
14	16	22	20	3146.162
15	17	23	21	2879.837
16	18	24	22	2373.832
17	19	25	23	2728.012
18	20	26	24	2717.561
19	21	27	25	2659.121
20	22	28	26	2965.737
21	23	29	27	2246.160
22	24	30	28	2104.109
23	25	31	29	2149.482
24	26	32	30	1990.103
25	27	33	31	2158.813
26	28	34	32	2116.404
27	29	35	33	1597.140
28	30	36	34	1449.406
29	31	37	35	1366.347
30	32	38	36	1154.923
31	33	39	37	987.892
32	34	40	38	974.108
